TRAIN_CORPUS=./input/wsj-02-21clean.mrg
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
0 sentences were reranked out of 0

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=false
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=true
LAMBDA_1=0.1; LAMBDA_2=0.2; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=true
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

Test sent.;length;depth;#cstit;ch;#mcst;#cst;h1;#cand;#mcst;#cst;h2;#cand;#mcst;#cst;h3;#cand;#mcst;#cst;h4;#cand;#mcst;#cst;h5;#cand;#mcst;#cst;h6;#cand;#mcst;#cst;h7;#cand;#mcst;#cst;h8;#cand;#mcst;#cst;h9;#cand;#mcst;#cst;h10;#cand;#mcst;#cst;h11;#cand;#mcst;#cst;h12;#cand;#mcst;#cst;h13;#cand;#mcst;#cst;h14;#cand;#mcst;#cst;ran;#cand;#mcst;#cst
56;23;9;14;ch;10;14;0;4;10;14;1;2;10;14;2;2;10;14;3;2;10;14;4;2;10;14;5;2;10;14;6;2;10;14;7;2;10;14;8;2;10;14;9;2;10;14;10;2;10;14;11;2;10;14;12;2;10;14;13;2;10;14;14;2;10;14;ran;3;11;13
57;33;20;22;ch;19;24;0;3;13;23;1;3;13;23;2;3;13;23;3;3;13;23;4;3;13;23;5;3;13;23;6;3;13;23;7;3;13;23;8;3;13;23;9;1;19;24;10;1;19;24;11;1;19;24;12;1;19;24;13;1;19;24;14;1;19;24;ran;1;19;24
58;28;14;16;ch;12;15;0;3;12;15;1;0;12;15;2;3;12;15;3;3;12;15;4;3;12;15;5;3;12;15;6;3;12;15;7;3;12;15;8;3;12;15;9;3;12;15;10;3;12;15;11;3;12;15;12;3;12;15;13;3;12;15;14;3;12;15;ran;2;11;15
59;22;9;14;ch;13;15;0;1;12;14;1;2;13;15;2;2;13;15;3;2;13;15;4;2;13;15;5;2;13;15;6;2;13;15;7;2;13;15;8;2;13;15;9;2;13;15;10;2;13;15;11;2;13;15;12;2;13;15;13;2;13;15;14;0;13;15;ran;4;13;16
60;14;12;9;ch;8;10;0;2;9;10;1;2;9;10;2;2;9;10;3;2;9;10;4;2;9;10;5;2;9;10;6;2;9;10;7;2;9;10;8;2;9;10;9;2;9;10;10;2;9;10;11;2;9;10;12;2;9;10;13;2;9;10;14;2;9;10;ran;3;8;10
61;27;11;17;ch;17;17;0;0;17;17;1;0;17;17;2;0;17;17;3;0;17;17;4;0;17;17;5;0;17;17;6;0;17;17;7;0;17;17;8;0;17;17;9;0;17;17;10;0;17;17;11;0;17;17;12;0;17;17;13;0;17;17;14;1;17;17;ran;2;16;17
62;24;12;16;ch;13;16;0;1;14;16;1;3;16;16;2;3;16;16;3;3;16;16;4;3;16;16;5;3;16;16;6;3;16;16;7;3;16;16;8;3;16;16;9;3;16;16;10;3;16;16;11;2;14;17;12;2;14;17;13;3;16;16;14;3;16;16;ran;0;13;16
63;15;10;11;ch;8;11;0;0;8;11;1;0;8;11;2;0;8;11;3;0;8;11;4;0;8;11;5;0;8;11;6;0;8;11;7;0;8;11;8;0;8;11;9;0;8;11;10;0;8;11;11;0;8;11;12;0;8;11;13;0;8;11;14;0;8;11;ran;3;8;11
64;24;11;15;ch;12;14;0;0;12;14;1;2;14;15;2;2;14;15;3;2;14;15;4;2;14;15;5;2;14;15;6;2;14;15;7;2;14;15;8;2;14;15;9;2;14;15;10;2;14;15;11;2;14;15;12;2;14;15;13;2;14;15;14;2;14;15;ran;4;11;14
65;17;14;13;ch;12;14;0;1;12;13;1;1;12;13;2;1;12;13;3;1;12;13;4;1;12;13;5;1;12;13;6;1;12;13;7;1;12;13;8;1;12;13;9;1;12;13;10;1;12;13;11;1;12;13;12;1;12;13;13;1;12;13;14;1;12;13;ran;4;12;13
66;4;3;1;ch;1;1;0;1;1;1;1;1;1;1;2;1;1;1;3;1;1;1;4;1;1;1;5;1;1;1;6;1;1;1;7;1;1;1;8;1;1;1;9;1;1;1;10;1;1;1;11;1;1;1;12;1;1;1;13;1;1;1;14;1;1;1;ran;1;1;1
67;3;3;1;ch;1;1;0;1;1;1;1;0;1;1;2;0;1;1;3;0;1;1;4;0;1;1;5;0;1;1;6;0;1;1;7;0;1;1;8;0;1;1;9;0;1;1;10;0;1;1;11;0;1;1;12;0;1;1;13;0;1;1;14;0;1;1;ran;2;1;2
68;31;12;19;ch;19;21;0;4;16;20;1;4;16;20;2;4;16;20;3;4;16;20;4;4;16;20;5;4;16;20;6;4;16;20;7;4;16;20;8;4;16;20;9;4;16;20;10;4;16;20;11;2;16;21;12;2;16;21;13;2;16;21;14;2;16;21;ran;3;19;21
69;5;5;2;ch;2;2;0;0;2;2;1;0;2;2;2;0;2;2;3;0;2;2;4;0;2;2;5;0;2;2;6;0;2;2;7;0;2;2;8;0;2;2;9;0;2;2;10;0;2;2;11;0;2;2;12;0;2;2;13;0;2;2;14;0;2;2;ran;4;2;2
70;20;9;12;ch;12;12;0;3;11;11;1;3;11;11;2;3;11;11;3;3;11;11;4;0;12;12;5;0;12;12;6;0;12;12;7;0;12;12;8;0;12;12;9;0;12;12;10;0;12;12;11;0;12;12;12;0;12;12;13;0;12;12;14;0;12;12;ran;0;12;12
71;18;8;10;ch;10;12;0;1;10;10;1;2;10;12;2;2;10;12;3;2;10;12;4;2;10;12;5;2;10;12;6;2;10;12;7;2;10;12;8;2;10;12;9;2;10;12;10;2;10;12;11;2;10;12;12;2;10;12;13;2;10;12;14;2;10;12;ran;4;10;10
72;31;11;16;ch;16;16;0;1;15;15;1;1;15;15;2;1;15;15;3;1;15;15;4;1;15;15;5;1;15;15;6;1;15;15;7;1;15;15;8;1;15;15;9;1;15;15;10;1;15;15;11;1;15;15;12;1;15;15;13;1;15;15;14;1;15;15;ran;3;14;15
73;12;8;7;ch;7;9;0;2;7;7;1;2;7;7;2;2;7;7;3;2;7;7;4;2;7;7;5;2;7;7;6;2;7;7;7;2;7;7;8;2;7;7;9;2;7;7;10;2;7;7;11;2;7;7;12;2;7;7;13;2;7;7;14;2;7;7;ran;2;7;7
74;3;3;1;ch;1;1;0;0;1;1;1;0;1;1;2;0;1;1;3;0;1;1;4;1;1;1;5;1;1;1;6;1;1;1;7;1;1;1;8;1;1;1;9;1;1;1;10;1;1;1;11;1;1;1;12;1;1;1;13;1;1;1;14;1;1;1;ran;1;1;1
75;31;14;17;ch;17;17;0;0;17;17;1;0;17;17;2;0;17;17;3;0;17;17;4;0;17;17;5;0;17;17;6;0;17;17;7;0;17;17;8;0;17;17;9;0;17;17;10;0;17;17;11;0;17;17;12;0;17;17;13;0;17;17;14;0;17;17;ran;0;17;17
