freq;,length;occ;cxs
3;5;322,514,917;(TOP>PUNC^1 (TOP>SUGG@[P0] (TOP>UH )(SUGG )) (PUNC@[A3] (.*TOP>PUNC^1@[P2] (TOP>PUNC*@[S1] ) ) ) )
3;8;21,444,548;(TOP>PUNC^1 (TOP>IN@[P3] (TOP>S )(IN@[A2] (like*TOP>IN^1@[P1] (TOP>IN*@[S0] ) ) ) ) (PUNC@[A6] (.*TOP>PUNC^1@[P5] (TOP>PUNC*@[S4] ) ) ) )
3;9;483,628,810;(TOP>PUNC^1 (TOP>S@[P4] (S@[P3] (S>VP:COMP@[P2] (S>NP:COMP )(VP:COMP@[A1] (VP:COMP>PP:ADJ@[P0] (VP:COMP>VB:HD )(PP:ADJ )) ) ) ) ) (PUNC@[A7] (.*TOP>PUNC^1@[P6] (TOP>PUNC*@[S5] ) ) ) )
2;5;495,602;(TOP>PUNC^1 (TOP>S@[P0] (TOP>DTP )(S )) (PUNC@[A3] (.*TOP>PUNC^1@[P2] (TOP>PUNC*@[S1] ) ) ) )
2;10;61,116;(TOP>PUNC^1 (TOP>S@[P5] (S@[P4] (S>VP:COMP@[P3] (S>NP:SBJ )(VP:COMP@[A2] (VB:HD@[P1] (leave@[P0] (S>VP:COMP^1 )) ) ) ) ) ) (PUNC@[A8] (.*TOP>PUNC^1@[P7] (TOP>PUNC*@[S6] ) ) ) )
2;17;304,307;(TOP>PUNC^1 (TOP>S@[P12] (S@[P11] (S>VP:COMP@[P10] (S>MD:HD )(VP:COMP@[A9] (VP:COMP>ADVP:ADJ^1@[P8] (VP:COMP>NP:COMP@[P3] (VP:COMP>VB:HD )(NP:COMP@[A2] (PP:HD@[P1] (it@[P0] (VP:COMP>NP:COMP^1 )) ) ) ) (ADVP:ADJ@[A7] (RB:HD@[P6] (then*VP:COMP>ADVP:ADJ^1@[P5] (VP:COMP>ADVP:ADJ*@[S4] ) ) ) ) ) ) ) ) ) (PUNC@[A15] (.*TOP>PUNC^1@[P14] (TOP>PUNC*@[S13] ) ) ) )
2;9;85,677;(TOP>PUNC^1 (TOP>SUGG@[P4] (SUGG@[P3] (SUGG>S:COMP@[P2] (SUGG>RB )(S:COMP@[A1] (S:COMP>PP:ADJ@[P0] (S:COMP>VBP:HD )(PP:ADJ )) ) ) ) ) (PUNC@[A7] (.*TOP>PUNC^1@[P6] (TOP>PUNC*@[S5] ) ) ) )
2;19;271,923;(TOP>PUNC^1 (TOP>S@[P14] (S@[P13] (S>VP:COMP@[P12] (S>MD:HD )(VP:COMP@[A11] (VP:COMP>PP:ADJ@[P10] (VP:COMP>AP:COMP )(PP:ADJ@[A9] (PP:ADJ>NP:COMP^1@[P8] (PP:ADJ>IN:HD@[P3] (IN:HD@[P2] (for*VP:COMP>PP:ADJ^1@[P1] (VP:COMP>PP:ADJ*@[S0] ) ) ) ) (NP:COMP@[A7] (PP:HD@[P6] (me*PP:ADJ>NP:COMP^1@[P5] (PP:ADJ>NP:COMP*@[S4] ) ) ) ) ) ) ) ) ) ) ) (PUNC@[A17] (.*TOP>PUNC^1@[P16] (TOP>PUNC*@[S15] ) ) ) )
2;17;309,329;(TOP>PUNC^1 (TOP>S@[P12] (S@[P11] (S>PP:ADJ@[P10] (S>AP:COMP )(PP:ADJ@[A9] (PP:ADJ>NP:COMP^1@[P8] (PP:ADJ>IN:HD@[P3] (IN:HD@[P2] (for*S>PP:ADJ^1@[P1] (S>PP:ADJ*@[S0] ) ) ) ) (NP:COMP@[A7] (PP:HD@[P6] (you*PP:ADJ>NP:COMP^1@[P5] (PP:ADJ>NP:COMP*@[S4] ) ) ) ) ) ) ) ) ) (PUNC@[A15] (.*TOP>PUNC^1@[P14] (TOP>PUNC*@[S13] ) ) ) )
2;17;51,387;(TOP>PUNC^1 (TOP>S@[P12] (S@[P11] (S>VP:COMP@[P10] (S>MD:HD )(VP:COMP@[A9] (VP:COMP>AP:COMP^1@[P8] (VP:COMP>VB:HD@[P3] (VB:HD@[P2] (be*S>VP:COMP^1@[P1] (S>VP:COMP*@[S0] ) ) ) ) (AP:COMP@[A7] (JJ:HD@[P6] (fine*VP:COMP>AP:COMP^1@[P5] (VP:COMP>AP:COMP*@[S4] ) ) ) ) ) ) ) ) ) (PUNC@[A15] (.*TOP>PUNC^1@[P14] (TOP>PUNC*@[S13] ) ) ) )
